File	Left Context	Hit	Right Context
2020-01-15_03-27-05_UTC.txt	matter and make a difference too, you know? \\ #snow #winterdays #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-16_01-35-31_UTC.txt	them when they break. \\ #thursdayboots #leatherboots #chromexcel #horweenchromexcel  #buyquality #thingsthatlast #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-16_16-36-39_UTC.txt	local eggs, uncured bacon, kefir or yogurt, and local coffee. \\ #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-20_01-56-39_UTC.txt	stands out in this modern world. \\ #houseboat #architecture #beautymatters #aesthetics #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-21_21-58-06_UTC.txt	I’m naturally sort of a messy person.. \\ #cleanhome #kitchenorganization  #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-23_06-25-58_UTC.txt	thing to celebrate a simple life.” -Tolkien \\ #simplelife #tolkien #kitchenware #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-01-24_07-17-29_UTC.txt	woods, for here is rest.” -Muir \\ #johnmuir #woods #perspective #questioneverything #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-01-25_00-27-46_UTC.txt	Now off to punch the clock. \\ #rant #coffee #workingwomen #bringbackhousewives #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-01-27_05-57-06_UTC.txt	v Ferrari, it was a great movie. \\ #lazysundays #marriedlife #fordvferrari #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-01-30_05-12-13_UTC.txt	a picture of our pretty glasses.. Until tomorrow- \\ #kitchens #opencabinets #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-02-06_04-30-22_UTC.txt	the only one that feels isolated from time to time! \\ #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-02-10_04-58-18_UTC.txt	is God's handwriting.” -Ralph Waldo Emerson \\ #sunset #pnw #frozenlake #	femininity #	feminism #women #beauty #compassion #nature #housewife #simplelife #create #traditions #
2020-02-15_04-46-28_UTC.txt	good women out there. Happy Valentine’s Day! \\ #valentinesday #lovestory #	femininity #	feminism #women #beauty #tradwife #traditional #compassion #nature #housewife #simplelife #
2020-02-17_00-14-18_UTC.txt	matters and your physical health matters. \\ #identity #suicideawarness #isolation #idaho #	femininity #	feminism #women #beauty #tradwife #traditional #compassion #nature #housewife #simplelife #
2020-02-18_03-34-21_UTC.txt	sad that I killed this plant... \\ #houseplant #dragontail #hangingplant #kitchen #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-02-19_06-08-07_UTC.txt	H O M E >><< #pnw #sunset #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-02-20_01-32-39_UTC.txt	more. \\ #qualitygoods #leatherpurse #leatherboots #horweenleather #chromexcel #thursdayboots #craftandlore #crossbodypurse #fiddleleaffig #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-02-23_22-08-23_UTC.txt	hair and can’t wait for it to come back:) \\ #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-01_21-05-22_UTC.txt	probably hit some thrift stores:) >><< #lazysunday #marriedlife #coffeeshop #latte #coffeedate #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-03_04-38-32_UTC.txt	no to global consumerism. >><< #secondhandclothes #thrift #reuse #recycle #brass #sweaterweather #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-04_05-33-54_UTC.txt	matters compared to what lies within us.” Ralph Waldo Emerson \\ #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-13_20-25-28_UTC.txt	living our lives as normal. >><< #latte #coffeeshop #quarantine  #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-15_21-41-19_UTC.txt	day, then panic and fear is not necessary. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-17_00-28-13_UTC.txt	girl can never be too careful in this crazy world. \\ #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-17_19-29-45_UTC.txt	a good life. \\ #stpatricksday #flanery #celtictrinityknot #celtictattoo #redhead #freckles #identity  #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-19_02-23-11_UTC.txt	to have something to sip on.. \\ #slowandlowwhiskey #gearboxwine #whiskey #homebody #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-20_04-28-56_UTC.txt	are some plans you have? \\ #organization #sweaters #quarantine #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-22_01-58-02_UTC.txt	day-to-day isn’t really affected. \\ #homebody #research #knowledgeispower #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-23_04-30-04_UTC.txt	home details. We like brass here. \\ #brasseagle #keyhook #homedecor #homedetails #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-27_04-23-27_UTC.txt	of the free time. >><< #vitamind #sunshine #nationalparks #laketown #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-27_15-58-10_UTC.txt	like not knowing.. \\ #roaptrip #knitblanket #weekenderduffle #thursdayboots #chromexcel #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-29_02-11-40_UTC.txt	to the President for this upcoming term;) \\ #nomorebs #2020 #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-29_23-42-41_UTC.txt	Fresh air and few people. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-30_17-20-40_UTC.txt	balance back out. We will see! \\ #home #buyland #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-03-31_19-46-05_UTC.txt	other, support one another, keep in touch, all the things. >><< #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-04-06_02-39-26_UTC.txt	to gather. This is America in 2020. \\ #palmsunday #palmtree #christianity #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-04-11_03-02-11_UTC.txt	we don’t need anyone else joining us;) >><< #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-04-15_00-42-07_UTC.txt	a vague post about my emotional state 🖤 \\ #housedress #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-04-18_21-24-51_UTC.txt	the highways are empty so there’s that. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #
2020-04-20_00-11-56_UTC.txt	Film photo by my husband 📷 \\ #northcascades #hiking #blacklab #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-04-21_22-36-23_UTC.txt	s important to you and why it matters to care. \\ #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-04-29_18-45-39_UTC.txt	spam some mountain photos later.. 🏔 \\ #gowest #mountains #roadtrip #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-01_02-30-52_UTC.txt	of those promised mountain pics. \\ #roadtrip #icedlatte #morganitediamond #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-02_02-24-22_UTC.txt	America the Beautiful \\ #shoshonefalls #americathebeautiful  #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-03_17-54-30_UTC.txt	too, don’t give up!) \\ #marriage #birthdayboy #flintandtinder  #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-05_04-14-49_UTC.txt	of these days, until then, goodnight ✨ \\ #celtictattoo #trinity #celticknot #redhead #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-07_04-34-31_UTC.txt	out a way to help. Comment ideas below:) \\ #peopleofwalmart #selfrespect #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-07_18-17-19_UTC.txt	your health from you. Don’t let them. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-09_04-52-58_UTC.txt	dress #2 That is all, goodnight ✨ \\ #goodwillfinds #blackdress #thrifting #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-11_03-38-25_UTC.txt	is allowed wherever you live!! \\ #mothersday #infertility #pregnancy  #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-14_03-53-27_UTC.txt	going to be a fun summer. ✨ \\ #summerdays #sunset #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-19_20-13-56_UTC.txt	in the future:) \\ #grandmashouse #paintbynumber #brasslamp #homestead #heritage #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-22_02-46-00_UTC.txt	and do the dishes 🖤 \\ #muledeer #deerheadmount #pennants #kitchendecor #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-23_00-08-54_UTC.txt	even down to measuring spoons. 🖤 \\ #measuringspoons #brass #kitchen #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-24_03-27-18_UTC.txt	to see that ugly thing. \\ #cedargrove #pnw #pinetrees #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-25_01-19-22_UTC.txt	got some sunshine here today ☀️ \\ #houseplant #tropicalplants #dartboard  #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-26_03-40-21_UTC.txt	Next weekend perhaps! \\ #smithandwesson #mandpshield #concealedcarry #9mm #f100 #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-28_00-22-38_UTC.txt	want one anymore though) \\ #divideandconquer #johnjamesaudubon #birdsofprey #hawk #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-29_19-32-23_UTC.txt	the assault weapon. \\ #chestnutmushrooms #sourdoughbread #cheeseboard #chickenthighs #organicfood #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-05-31_23-09-16_UTC.txt	disappointed in America but not at all surprised. >><< #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-02_20-11-22_UTC.txt	as a local business owner. \\ #community #2A #smalltown #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-02_20-14-21_UTC.txt	heck with our town last night. \\ #constitutionalcarry #community #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-03_15-30-23_UTC.txt	do your own research. \\ #whiteoutwednesday #research #numbersdontlie #manipulativemedia #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-04_01-54-03_UTC.txt	be called names) on Instagram all evening. ‘Night! \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-04_22-20-14_UTC.txt	know how many years, and it worked beautifully. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #2a #housewife #
2020-06-07_19-13-10_UTC.txt	the mob that is currently running this country. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-10_00-51-18_UTC.txt	forward to whatever comes next! \\ #woodencuttingboard #brasseagle #homesteading  #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-17_00-27-01_UTC.txt	today and met some Canadians. \\ #canadiangeese #pnw #geese #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-18_02-45-33_UTC.txt	take that from you. \\ #coffee #latte #connections #relationships #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-18_20-12-26_UTC.txt	really give you baby fever.. \\ #newbornbaby #gauzeswaddle #babyfever #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-22_04-26-52_UTC.txt	intended it. Happy Father's Day. \\ #fathersday #fatherfigure #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-24_20-47-35_UTC.txt	now it's a rarity. \\ #preservebeauty #tile #woodfloors #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-06-25_20-40-01_UTC.txt	time I do something with it! \\ #nutritionaltherapy #farmersmarket #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-07-02_00-08-47_UTC.txt	safe with good friends and a strong community.  \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-07-05_01-59-09_UTC.txt	is never alone." -the midnight Happy Independence Day. \\ #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-07-08_04-20-21_UTC.txt	being a homemaker that much more important. \\ #houseplants #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-07-20_04-57-26_UTC.txt	or in real life!  'night. \\ #houseplant #home #summernights #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-07-24_00-49-01_UTC.txt	America we now live in. \\ #maskmandate #tyrannicalgovernment #facelessamerica #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
2020-07-24_17-53-25_UTC.txt	mob going back to my car.. #silverlining \\ #facelessamerica #gooutside #eatrealfood #	femininity #	feminism #women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #
