File	Left Context	Hit	Right Context
2020-05-29_19-32-23_UTC.txt	assault weapon. \\ #chestnutmushrooms #sourdoughbread #cheeseboard #chickenthighs #organicfood #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-05-31_23-09-16_UTC.txt	in America but not at all surprised. >><< #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-02_20-11-22_UTC.txt	a local business owner. \\ #community #2A #smalltown #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-02_20-14-21_UTC.txt	with our town last night. \\ #constitutionalcarry #community #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-03_15-30-23_UTC.txt	your own research. \\ #whiteoutwednesday #research #numbersdontlie #manipulativemedia #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-04_01-54-03_UTC.txt	called names) on Instagram all evening. ‘Night! \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-04_22-20-14_UTC.txt	how many years, and it worked beautifully. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #2a #housewife #simplelife #
2020-06-07_19-13-10_UTC.txt	mob that is currently running this country. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-10_00-51-18_UTC.txt	to whatever comes next! \\ #woodencuttingboard #brasseagle #homesteading  #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-17_00-27-01_UTC.txt	and met some Canadians. \\ #canadiangeese #pnw #geese #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-18_02-45-33_UTC.txt	that from you. \\ #coffee #latte #connections #relationships #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-18_20-12-26_UTC.txt	give you baby fever.. \\ #newbornbaby #gauzeswaddle #babyfever #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-22_04-26-52_UTC.txt	it. Happy Father's Day. \\ #fathersday #fatherfigure #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-24_20-47-35_UTC.txt	it's a rarity. \\ #preservebeauty #tile #woodfloors #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-06-25_20-40-01_UTC.txt	I do something with it! \\ #nutritionaltherapy #farmersmarket #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-07-02_00-08-47_UTC.txt	with good friends and a strong community.  \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-07-05_01-59-09_UTC.txt	never alone." -the midnight Happy Independence Day. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-07-08_04-20-21_UTC.txt	a homemaker that much more important. \\ #houseplants #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-07-20_04-57-26_UTC.txt	in real life!  'night. \\ #houseplant #home #summernights #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
